sentence
"The capital of Russia is Moscow."
"The capital of China is Beijing."
"The capital of Greece is Athens."
"The capital of Germany is Berlin."
"The capital of France is Paris."
"The capital of the United Kingdom is London."
"The capital of Japan is Tokyo."
"The capital of Egypt is Cairo."
"The capital of Italy is Rome."
"The capital of Spain is Madrid."
"The capital of Portugal is Lisbon."
"The capital of Canada is Ottawa."
"The capital of Australia is Canberra."
"The capital of Brazil is Brasília."
"The capital of India is New Delhi."
"The capital of the United States is Washington, D.C."
"The capital of Argentina is Buenos Aires."
"The capital of Mexico is Mexico City."
"The capital of South Korea is Seoul."
"The capital of Indonesia is Jakarta."
"The capital of Thailand is Bangkok."
"The capital of Norway is Oslo."
"The capital of Sweden is Stockholm."
"The capital of Finland is Helsinki."
"The capital of Poland is Warsaw."
"The capital of Austria is Vienna."
